aggr,dropout,epochs,hidden_units,label,learning_rate,mode,n_layers,operator,type,artist_test_accuracy,artist_test_loss,artist_train_accuracy,artist_train_loss,artist_val_accuracy,artist_val_loss
mean,0,200,16,artist,0.001,single_task,3,GATConv,hetero,38,7.142,95,0.2676,60,1.3408
mean,0,200,16,artist,0.001,single_task,2,GATConv,hetero,25,5.1617,79,0.8868,35,2.6668
mean,0,200,16,artist,0.001,single_task,3,GraphConv,hetero,18,59.056,43,28.6511,26,37.861
mean,0,200,16,artist,0.001,single_task,2,GraphConv,hetero,44,6.232,81,0.9201,67,1.7308
mean,0,200,16,artist,0.001,single_task,3,SAGEConv,hetero,39,8.6703,93,0.3065,56,1.5666
mean,0,200,16,artist,0.001,single_task,2,SAGEConv,hetero,37,4.136,84,0.6943,51,1.7984
sum,0,200,16,artist,0.001,single_task,3,GATConv,hetero,59,6.8125,100,0.0153,98,0.1049
sum,0,500,16,artist,0.001,single_task,2,GATConv,hetero,58,5.2582,100,0.0185,97,0.1459
sum,0,500,16,artist,0.001,single_task,3,GraphConv,hetero,51,6297.4248,93,89.1412,82,308.6895
sum,0,500,16,artist,0.001,single_task,2,GraphConv,hetero,57,210.3472,98,0.4958,93,3.7729
sum,0,500,16,artist,0.001,single_task,3,SAGEConv,hetero,61,8.6504,100,0.0031,99,0.0581
sum,0,500,16,artist,0.001,single_task,2,SAGEConv,hetero,61,6.1441,100,0.0047,100,0.0327
mean,0,200,16,artist,0.001,single_task,1,GATConv,hetero,15,4.3286,60,1.8502,19,3.4419
mean,0,200,16,artist,0.001,single_task,1,GraphConv,hetero,44,4.5668,75,1.2124,62,1.7045
mean,0,200,16,artist,0.001,single_task,1,SAGEConv,hetero,34,3.1567,68,1.5197,40,2.4954
sum,0,200,16,artist,0.001,single_task,1,GATConv,hetero,54,3.9906,99,0.0885,88,0.5449
sum,0,200,16,artist,0.001,single_task,1,GraphConv,hetero,50,79.4104,87,3.9741,76,7.4005
sum,0,200,16,artist,0.001,single_task,1,SAGEConv,hetero,59,3.7083,100,0.0466,96,0.2478
